case_id,batch_id,accepted_run_dir,sample_rank,position_id,direction,entry_time_utc,exit_time_utc,net_account,net_R,outcome,exit_class,hold_minutes,risk_points,mechanism,evidence_class,data_quality_note
R100_001_PID000000268,batch01,run,1,268,BUY,2020-12-23T04:05:00,2020-12-23T04:21:37,-11.27,-1.1395348837,LOSS,SL_LIKE,16.6167,43.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,Both decision and anatomy PNGs rendered clearly with entry/SL/TP markers and readable multi-TF panes; no image corruption or missing overlays.
R100_002_PID000000140,batch01,run,2,140,SELL,2020-03-10T03:15:00,2020-03-10T03:41:37,-10.1,-1.0412371134,LOSS,SL_LIKE,26.6167,97.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Decision image is outcome-blind and readable; anatomy image discloses the failed path with SL/TP geometry visible. Overlay text is legible.
R100_003_PID000000010,batch01,run,3,10,BUY,2019-02-01T02:30:00,2019-02-01T03:06:40,-11.88,-1.2,LOSS,SL_LIKE,36.6667,30.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,STRONG_INFERENCE,Both images open and readable. Some label crowding near the entry marker; core OHLC path and SL/TP lines remain interpretable.
R100_004_PID000000304,batch01,run,4,304,SELL,2021-03-11T03:30:00,2021-03-11T04:05:33,-10.62,-1.0727272727,LOSS,SL_LIKE,35.55,55.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,Clean decision and anatomy renders; markers and price path are unambiguous for this winner case.
R100_005_PID000000476,batch01,run,5,476,SELL,2022-07-01T03:55:00,2022-07-01T05:55:00,9.12,0.95,WIN,TIMEOUT_OR_OTHER,120.0,60.0,NO_FOLLOWTHROUGH_TIMEOUT,STRONG_INFERENCE,Images are usable. Congestion makes visual separation of signal vs noise harder than in impulse cases; still sufficient for mechanism classification.
R100_006_PID000000258,batch02,run,6,258,BUY,2020-12-09T03:10:00,2020-12-09T03:15:36,-12.4,-1.25,LOSS,SL_LIKE,5.6,16.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,STRONG_INFERENCE,Both decision and anatomy images opened and inspected; outcome used only from anatomy for path/exit narrative.
R100_007_PID000000086,batch02,run,7,86,SELL,2019-09-09T02:30:00,2019-09-09T03:48:25,17.6,1.7777777778,WIN,TP_LIKE,78.4167,18.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,STRONG_INFERENCE,Visual path favors microstructure stop-out over timeout; exact fill labels inferred from chart anatomy where text is small.
R100_008_PID000000066,batch02,run,8,66,BUY,2019-08-12T01:15:00,2019-08-12T03:15:00,4.2,0.4444444444,WIN,TIMEOUT_OR_OTHER,120.0,63.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,STRONG_INFERENCE,"Both images inspected; mechanism ranked from path geometry, not from aggregate metrics alone."
R100_009_PID000000032,batch02,run,9,32,SELL,2019-04-26T03:15:00,2019-04-26T03:47:03,18.56,1.8823529412,WIN,TP_LIKE,32.05,34.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,STRONG_INFERENCE,"Images opened; if chart annotations are dense, fine print labels treated as secondary to path shape."
R100_010_PID000000480,batch02,run,10,480,SELL,2022-07-11T05:25:00,2022-07-11T05:30:04,-13.0,-1.3157894737,LOSS,SL_LIKE,5.0667,19.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,HYPOTHESIS,"Both images inspected; residual ambiguity on hold duration vs pure micro-stop, so evidence_class kept at HYPOTHESIS pending finer lifecycle timestamps."
R100_011_PID000000160,batch03,run,11,160,SELL,2020-03-30T01:35:00,2020-03-30T02:22:46,-9.36,-1.04,LOSS,SL_LIKE,47.7667,100.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,Both decision and anatomy PNGs opened and readable; outcome path is clear on anatomy without conflicting overlays.
