case_id,batch_id,accepted_run_dir,sample_rank,position_id,direction,entry_time_utc,exit_time_utc,net_account,net_R,outcome,exit_class,hold_minutes,risk_points,mechanism,evidence_class,data_quality_note
R100_001_PID000000268,batch01,run,1,268,BUY,2020-12-23T02:05:00,2020-12-23T02:21:37,-11.27,-1.1395348837,LOSS,SL_LIKE,16.6167,43.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Clear SL_LIKE hit after 16.6 min; stop is only ~4.3 pips under entry so small adverse drift exits the trade.
R100_002_PID000000140,batch01,run,2,140,SELL,2020-03-10T01:15:00,2020-03-10T01:41:37,-10.1,-1.0412371134,LOSS,SL_LIKE,26.6167,97.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,SL is only ~9.7 pips above entry; adverse bounce after short entry hits SL within ~27 minutes.
R100_003_PID000000010,batch01,run,3,10,BUY,2019-02-01T00:30:00,2019-02-01T01:06:40,-11.88,-1.2,LOSS,SL_LIKE,36.6667,30.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Very tight stop (~3.0 pips); modest post-entry mean-reversion from local high hits SL_LIKE.
R100_004_PID000000304,batch01,run,4,304,SELL,2021-03-11T01:30:00,2021-03-11T02:05:33,-10.62,-1.0727272727,LOSS,SL_LIKE,35.55,55.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,Short into a high H1 range location (0.869) then price continues higher into SL; mechanism is adverse continuation rather than pure noise-only.
R100_005_PID000000476,batch01,run,5,476,SELL,2022-07-01T00:55:00,2022-07-01T02:55:00,9.12,0.95,WIN,TIMEOUT_OR_OTHER,120.0,60.0,NO_FOLLOWTHROUGH_TIMEOUT,OBSERVED,Timeout after full 120 min hold with net positive short; favorable path but incomplete follow-through to TP.
R100_006_PID000000258,batch02,run2,6,258,BUY,2020-12-09T01:10:00,2020-12-09T01:15:36,-12.4,-1.25,LOSS,SL_LIKE,5.6,16.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,"V2 clock-aligned pair; labels, prices, SL_LIKE exit, hold 5.6 min, and H1 range 0.393 all readable from pixels. Stop distance is only ~1.6 pips vs M5 wick noise."
R100_007_PID000000086,batch02,run2,7,86,SELL,2019-09-08T23:30:00,2019-09-09T00:48:25,17.6,1.7777777778,WIN,TP_LIKE,78.4167,18.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,V2 pair clear. SHORT @ 1.10230 to TP 1.10194 is explicitly labeled TP_LIKE / WIN_NET_POSITIVE. H1 range position 0.076 transcribed from box.
R100_008_PID000000066,batch02,run2,8,66,BUY,2019-08-11T22:15:00,2019-08-12T00:15:00,4.2,0.4444444444,WIN,TIMEOUT_OR_OTHER,120.0,63.0,NO_FOLLOWTHROUGH_TIMEOUT,OBSERVED,"V2 labels explicit: TIMEOUT_OR_OTHER, hold 120.0 min, exit 1.12063, WIN_NET_POSITIVE. H1 range position 0.500 from box. Mechanism is timeout with partial favorable drift, not SL microstructure failure."
R100_009_PID000000032,batch02,run2,9,32,SELL,2019-04-26T00:15:00,2019-04-26T00:47:03,18.56,1.8823529412,WIN,TP_LIKE,32.05,34.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,V2 pair clear. SHORT @ 1.11332 exits TP_LIKE @ 1.11264 after 32.0 min. H1 range 0.356 transcribed. Strong post-entry downside expansion is visible on both M5 and H1 anatomy.
R100_010_PID000000480,batch02,run2,10,480,SELL,2022-07-11T02:25:00,2022-07-11T02:30:04,-13.0,-1.3157894737,LOSS,SL_LIKE,5.0667,19.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,V2 pair clear. SHORT @ 1.01456 stops SL_LIKE @ 1.01477 after 5.1 min hold. H1 range 0.622 from box. Stop distance ~2 pips vs ongoing bounce microstructure.
R100_011_PID000000160,batch03,run,11,160,SELL,2020-03-29T22:35:00,2020-03-29T23:22:46,-9.36,-1.04,LOSS,SL_LIKE,47.7667,100.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,V2 clock-corrected panels readable; SL only 10 pips above entry; stop hit after ~48 min grind higher.
R100_012_PID000000500,batch03,run,12,500,SELL,2022-09-13T01:45:00,2022-09-13T01:54:54,-10.58,-1.0952380952,LOSS,SL_LIKE,9.9,42.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Very short hold (~10 min) and tight SL geometry; classic micro-structure stop-out against short.
R100_013_PID000000506,batch03,run,13,506,SELL,2022-09-29T00:25:00,2022-09-29T00:31:38,-11.22,-1.1379310345,LOSS,SL_LIKE,6.6333,29.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Fastest stop in batch (~6.6 min); SL extremely tight relative to M5 noise; subsequent M5 continuation lower is post-exit only.
R100_014_PID000000350,batch03,run,14,350,BUY,2021-06-20T21:50:00,2021-06-20T22:07:59,18.9,1.914893617,WIN,TP_LIKE,17.9833,47.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,Only WIN in this batch; TP hit in 18 min; entry near H1 range low (0.140) with post-entry continuation.
R100_015_PID000000286,batch03,run,15,286,SELL,2021-01-31T23:35:00,2021-02-01T01:00:36,-10.56,-1.064516129,LOSS,SL_LIKE,85.6,62.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Longer hold than other shorts (~86 min) but still SL_LIKE; mid-range H1 entry (0.515) with eventual stop hit after temporary favorable move.
R100_016_PID000000100,batch04,run,16,100,BUY,2019-11-05T00:30:00,2019-11-05T01:08:35,-12.54,-1.2666666667,LOSS,SL_LIKE,38.5833,15.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Clock-corrected V2 images readable; M5/H1 only; SL/TP/entry/exit labels legible; range position 0.142 transcribed from H1 box.
R100_017_PID000000290,batch04,run,17,290,BUY,2021-02-04T00:25:00,2021-02-04T00:36:08,-11.04,-1.1162790698,LOSS,SL_LIKE,11.1333,43.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,V2 images clear; entry near top of H1 20-bar range (0.913); short hold SL_LIKE stop-out observed.
R100_018_PID000000242,batch04,run,18,242,SELL,2020-11-12T00:40:00,2020-11-12T00:48:50,-12.25,-1.25,LOSS,SL_LIKE,8.8333,20.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,V2 SHORT case; SL_LIKE after 8.8 min; decision M5 left-axis scale appears relative/offset but entry/SL/TP absolute labels on boxes remain legible.
R100_019_PID000000114,batch04,run,19,114,SELL,2019-12-05T00:45:00,2019-12-05T01:47:35,-10.58,-1.0952380952,LOSS,SL_LIKE,62.5833,42.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,STRONG_INFERENCE,Hold 62.6 min is longer than micro-spike stops; still labeled SL_LIKE on chart. Mechanism class is stop-side failure; longer adverse path noted in observations.
R100_020_PID000000198,batch04,run,20,198,BUY,2020-07-12T23:00:00,2020-07-12T23:10:39,-10.8,-1.1111111111,LOSS,SL_LIKE,10.65,36.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,V2 images clear; entry at 0.877 of H1 20-bar range (near high); fast SL_LIKE after ~10.7 min observed.
R100_021_PID000000036,batch05,run,21,36,SELL,2019-05-20T00:25:00,2019-05-20T01:01:59,-11.0,-1.1111111111,LOSS,SL_LIKE,36.9833,45.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,"Clock-corrected V2 images are legible; SL distance is only ~4.5 pips above entry while TP is much farther, and exit price 1.11656 matches SL_LIKE on the chart."
R100_022_PID000000380,batch05,run,22,380,BUY,2021-09-23T02:10:00,2021-09-23T02:42:25,18.88,1.9032258065,WIN,TP_LIKE,32.4167,31.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,TP label 1.16971 and exit 1.16972 are consistent with TP_LIKE fill; images clear and complete.
R100_023_PID000000138,batch05,run,23,138,SELL,2020-02-26T00:20:00,2020-02-26T00:22:34,18.0,1.8181818182,WIN,TP_LIKE,2.5667,22.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,Exit price equals stated TP 1.08713; hold of 2.6 minutes is clearly visible as an immediate downside spike.
R100_024_PID000000516,batch05,run,24,516,BUY,2022-11-06T23:30:00,2022-11-07T01:18:38,-10.12,-1.0454545455,LOSS,SL_LIKE,108.6333,88.0,NO_FOLLOWTHROUGH_TIMEOUT,STRONG_INFERENCE,"Hold 108.6 min ends at SL after failed follow-through rather than an instantaneous micro-stop scrape; exit class is still SL_LIKE. Mechanism coded as no-followthrough style failure with longer hold, evidence class STRONG_INFERENCE because timeout vs pure adverse trend is interpretive."
R100_025_PID000000438,batch05,run,25,438,SELL,2022-04-03T21:25:00,2022-04-03T21:25:30,-13.33,-1.347826087,LOSS,SL_LIKE,0.5,23.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Hold 0.5 min and exit 1.10405 just above SL 1.10401 are unambiguous on the anatomy chart; classic micro-stop failure.
R100_026_PID000000338,batch06,run,26,338,BUY,2021-05-25T00:30:00,2021-05-25T00:59:32,18.0,1.8518518519,WIN,TP_LIKE,29.5333,27.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,Both decision and anatomy images legible; SL/TP/entry/exit prices and H1 range position 0.752 transcribed from on-chart labels; TP_LIKE and 29.5 min hold explicit on anatomy box.
R100_027_PID000000420,batch06,run,27,420,SELL,2022-02-01T00:35:00,2022-02-01T02:33:59,-11.0,-1.1224489796,LOSS,SL_LIKE,118.9833,49.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Labels clear; initial favorable move then reverse through tight SL (~4.9 pips above entry) after ~2h; SL_LIKE and hold time explicit.
R100_028_PID000000324,batch06,run,28,324,BUY,2021-04-23T00:25:00,2021-04-23T00:45:24,-11.31,-1.16,LOSS,SL_LIKE,20.4,25.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Clear SL_LIKE after 20.4 min; stop only ~2.5 pips under entry; entry range position 0.312 transcribed from H1 box.
R100_029_PID000000326,batch06,run,29,326,SELL,2021-04-27T00:45:00,2021-04-27T01:01:42,-11.34,-1.1666666667,LOSS,SL_LIKE,16.7,36.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Fast SL_LIKE in 16.7 min on tight stop; exit price 1.20809 vs SL 1.20807 visible; H1 range position 0.292 clear.
R100_030_PID000000132,batch06,run,30,132,SELL,2020-02-05T00:15:00,2020-02-05T01:43:32,18.46,1.8571428571,WIN,TP_LIKE,88.5333,14.0,MIXED_OR_OTHER,OBSERVED,"Decision M5 left y-scale looks like relative/offset rendering in places, but trade box prices (entry 1.10437, SL 1.10451, TP 1.10409) and anatomy exit 1.10407/TP_LIKE are explicit and consistent; H1 prices absolute and clear."
R100_031_PID000000222,batch07,run,31,222,SELL,2020-09-02T00:40:00,2020-09-02T00:54:29,18.9,1.914893617,WIN,TP_LIKE,14.4833,47.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,V2 clock-corrected charts; M5/H1 only; H1 EMA NOT_REQUESTED; labels legible.
R100_032_PID000000166,batch07,run,32,166,SELL,2020-04-19T22:25:30,2020-04-20T00:04:36,18.7,1.8965517241,WIN,TP_LIKE,99.1,29.0,MIXED_OR_OTHER,OBSERVED,TP label shows 1.08626 on decision box vs exit 1.08625 — 1-pip rounding/fill difference only; charts otherwise clean.
R100_033_PID000000444,batch07,run,33,444,SELL,2022-04-11T00:30:00,2022-04-11T00:55:04,-10.27,-1.0675675676,LOSS,SL_LIKE,25.0667,74.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Exit 1.08921 vs SL label 1.08920 — 1-pip fill beyond stop typical; V2 panels clear.
R100_034_PID000000390,batch07,run,34,390,SELL,2021-10-26T00:20:00,2021-10-26T01:16:35,-10.56,-1.064516129,LOSS,SL_LIKE,56.5833,62.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Tight SL distance (~6 pips) visible; no extra indicator panels claimed.
R100_035_PID000000002,batch07,run,35,2,BUY,2019-01-03T00:30:00,2019-01-03T02:30:00,12.3,1.23,WIN,TIMEOUT_OR_OTHER,120.0,100.0,NO_FOLLOWTHROUGH_TIMEOUT,OBSERVED,Clear timeout win; TP not reached; only M5/H1 rendered.
R100_036_PID000000374,batch08,run2,36,374,SELL,2021-08-22T21:30:00,2021-08-22T22:00:34,-11.96,-1.2105263158,LOSS,SL_LIKE,30.5667,19.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,V2 clock-corrected charts; SL only ~1.9 pips above entry; no unsupported indicator panels; TP never approached.
R100_037_PID000000424,batch08,run2,37,424,SELL,2022-02-04T00:15:00,2022-02-04T00:25:59,-12.48,-1.28,LOSS,SL_LIKE,10.9833,25.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Entry near top of H1 range (0.906) with ~2.5-pip SL; rapid adverse move; panels are M5/H1 only.
R100_038_PID000000218,batch08,run2,38,218,BUY,2020-08-21T01:05:00,2020-08-21T01:09:32,-11.31,-1.16,LOSS,SL_LIKE,4.5333,25.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Shortest hold in batch (~4.5 min); H1 range position 0.946; TP far above and never reached.
R100_039_PID000000508,batch08,run2,39,508,SELL,2022-10-02T21:30:00,2022-10-02T23:30:00,-0.77,-0.0839694656,LOSS,TIMEOUT_OR_OTHER,120.0,131.0,NO_FOLLOWTHROUGH_TIMEOUT,OBSERVED,Clean timeout path; exit class TIMEOUT_OR_OTHER at 120 min; mid H1 range 0.524; small net adverse drift only.
R100_040_PID000000144,batch08,run2,40,144,BUY,2020-03-17T01:30:00,2020-03-17T02:35:26,18.81,1.9655172414,WIN,TP_LIKE,65.4333,87.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,Only net winner in batch; TP_LIKE at 1.11854 (label TP 1.11853 vs exit 1.11854 minor tick); mid H1 range 0.519.
R100_041_PID000000004,batch09,run,41,4,SELL,2019-01-23T01:20:00,2019-01-23T01:23:00,-11.96,-1.2105263158,LOSS,SL_LIKE,3.0,19.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Clean V2 dual-panel render; SL only ~1.9 pips above entry; 3-minute hold fully visible.
R100_042_PID000000448,batch09,run,42,448,BUY,2022-04-20T01:15:00,2022-04-20T01:18:35,-10.56,-1.1,LOSS,SL_LIKE,3.5833,40.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Clear SL_LIKE failure after ~3.6 min; stop ~4 pips below entry; no extra indicator panels.
R100_043_PID000000344,batch09,run,43,344,SELL,2021-06-01T00:40:00,2021-06-01T01:18:24,-10.72,-1.0806451613,LOSS,SL_LIKE,38.4,62.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,SL_LIKE after 38.4 min with clear adverse expansion through stop; H1 range position 0.889 is high in the closed 20-bar range for a short.
R100_044_PID000000328,batch09,run,44,328,SELL,2021-05-06T01:20:00,2021-05-06T01:22:23,-12.4,-1.25,LOSS,SL_LIKE,2.3833,16.0,TIGHT_STOP_MICROSTRUCTURE_FAILURE,OBSERVED,Tightest geometry in batch (~1.6 pips SL); 2.4-minute microstructure stop-out fully visible.
R100_045_PID000000212,batch09,run,45,212,SELL,2020-08-12T00:55:00,2020-08-12T02:04:36,18.7,1.9540229885,WIN,TP_LIKE,69.6,87.0,IMMEDIATE_CONTINUATION_EXPANSION,OBSERVED,Only TP_LIKE / WIN in this batch; hold 69.6 min to TP 1.17168; H1 range position 0.138 supports short bias in lower closed range.
